2,110,467,0
4,657,432,1
2,943,101,1
4,28,248,0
2,989,682,1
4,282,615,0
4,701,949,0
1,160,381,1
4,169,793,0
2,823,886,0
3,716,699,1
1,991,806,0
5,62,514,0
3,272,993,0
4,386,434,1
4,677,472,1
2,353,526,0
1,346,691,1
2,155,949,0
1,973,488,0
4,46,120,1
2,86,311,0
3,306,997,0
5,796,220,1
1,178,428,1
5,402,774,0
5,122,492,0
2,62,469,0
2,386,370,1
1,618,836,1
5,773,88,1
1,886,225,0
5,476,300,1
1,126,370,1
3,368,557,0
2,68,167,0
2,439,752,0
1,137,851,1
5,318,984,0
4,854,699,1
5,541,688,0
1,19,22,1
1,74,292,1
2,83,925,0
3,825,995,1
1,845,694,0
5,54,318,0
2,744,179,1
1,680,636,0
2,30,568,0
2,221,621,0
4,180,585,0
4,313,349,1
3,174,993,0
5,59,356,0
5,701,312,1
5,874,472,1
2,739,800,0
2,739,796,0
3,77,338,0
2,893,44,1
4,961,861,1
2,872,644,1
3,438,532,0
2,377,879,0
2,327,685,0
5,256,979,0
2,382,155,1
1,951,482,0
5,220,441,0
4,174,235,1
1,148,281,1
5,150,98,0
3,522,829,1
4,444,436,1
5,945,361,1
5,56,411,0
1,685,821,1
2,62,511,0
5,628,9,1
2,482,652,0
2,621,264,1
2,333,228,1
3,374,177,0
3,328,733,0
1,656,937,1
4,156,6,1
1,900,163,0
1,678,488,0
3,651,86,1
4,61,521,0
1,116,39,0
1,464,823,1
1,643,611,0
1,322,681,1
2,524,357,1
1,209,405,1
3,169,472,0
1,257,582,1
3,173,942,0
4,881,682,1
1,828,313,0
4,497,212,1
4,973,191,1
1,546,512,0
2,987,578,1
3,795,153,1
1,327,442,1
4,196,891,0
1,85,858,1
3,688,291,1
5,396,762,0
5,991,493,1
2,578,26,1
1,393,235,0
2,459,622,0
5,608,270,1
1,5,377,1
4,644,553,1
2,460,632,0
3,606,411,1
2,236,285,0
5,232,150,0
4,464,996,0
1,115,217,1
1,986,934,0
2,467,736,0
2,89,477,0
3,453,682,0
5,91,752,0
2,690,530,1
5,945,972,0
4,790,156,1
5,313,227,0
3,210,143,0
2,919,890,1
1,662,657,0
4,32,993,0
5,153,517,0
5,766,783,0
4,986,140,1
2,541,774,0
3,223,169,0
2,511,196,1
4,256,153,1
3,796,879,1
2,313,533,0
4,754,429,1
1,588,657,1
3,965,791,1
3,680,24,1
2,348,327,1
1,74,668,1
2,808,696,1
4,914,150,1
3,842,776,1
5,386,356,0
4,601,453,1
2,810,231,1
4,302,952,0
1,927,258,0
2,790,831,0
1,403,908,1
5,422,722,0
2,964,504,1
5,70,839,0
2,633,746,0
5,698,578,1
3,816,79,1
3,123,537,0
1,374,771,1
4,251,880,0
3,343,124,0
2,289,438,0
5,12,963,0
4,427,637,0
5,412,740,0
2,432,669,0
2,236,229,1
4,942,973,1
4,601,280,1
2,731,47,1
5,494,712,0
4,399,727,0
4,959,343,1
2,12,685,0
4,801,389,1
3,622,711,1
4,703,942,0
1,510,15,0
4,757,400,1
1,567,688,1
1,497,281,0
5,683,932,0
5,324,13,1
1,676,473,0
2,897,223,1
3,65,141,0
3,310,978,0
3,573,27,1
1,848,984,1
4,972,641,1
2,565,391,1
4,150,515,0
3,698,118,1
3,517,298,1
4,784,27,1
3,776,612,1
4,106,692,0
2,565,257,1
4,589,923,0
2,810,834,0
5,226,351,0
2,685,110,1
1,670,747,1
4,140,367,0
1,128,792,1
4,870,789,1
1,637,72,0
2,906,866,1
5,67,999,0
1,945,560,0
3,149,887,0
2,508,291,1
5,326,98,1
5,386,106,1
5,82,965,0
2,236,437,0
3,29,718,0
1,253,173,0
4,576,319,1
3,422,618,0
1,948,725,0
1,116,990,1
3,738,619,1
3,733,544,1
4,83,250,0
5,506,823,0
5,624,830,0
3,668,915,1
5,457,896,0
4,522,932,0
5,461,903,0
3,805,438,1
2,679,965,0
5,844,498,1
5,964,295,1
1,443,169,0
5,795,69,1
3,584,797,1
4,548,279,1
5,344,659,0
1,765,216,0
4,529,272,1
4,210,277,1
5,585,827,0
5,925,779,1
2,744,704,1
4,668,14,1
4,792,726,1
5,475,877,0
1,692,257,0
1,571,334,0
2,880,79,1
2,131,435,0
1,533,232,0
5,109,210,0
2,637,658,0
1,455,804,1
3,190,676,0
4,368,972,0
3,823,53,1
2,535,518,1
1,654,14,0
3,551,45,1
4,51,613,0
2,596,134,1
4,834,683,1
3,620,838,1
2,87,236,0
3,583,381,1
4,660,512,1
1,791,307,0
2,627,998,0
4,871,454,1
1,749,85,0
4,318,404,1
1,306,593,1
3,864,534,1
2,973,203,1
2,177,447,0
2,566,70,1
4,833,891,1
3,592,259,1
2,886,969,0
1,67,962,1
2,320,871,0
4,605,769,0
5,262,277,0
4,117,796,0
5,817,817,0
1,167,450,1
3,433,305,0
2,562,915,0
1,79,725,1
1,884,419,0
4,404,797,0
3,61,652,0
2,462,571,0
4,448,303,1
4,845,716,1
1,555,775,1
3,202,719,0
3,586,633,1
4,844,758,1
5,558,525,0
1,687,378,0
5,163,712,0
5,405,756,0
1,772,705,0
5,871,984,0
1,590,717,1
1,99,524,1
5,703,682,0
4,105,818,0
1,915,217,0
5,376,904,0
1,635,760,1
5,935,681,1
1,94,149,1
1,276,430,1
1,640,715,1
4,655,253,1
1,755,458,0
1,92,984,1
4,158,57,1
5,836,490,1
3,270,395,0
5,832,236,1
2,75,655,0
1,195,4,0
2,931,426,1
2,685,465,1
1,513,259,0
5,853,620,1
3,45,542,0
4,230,776,0
4,109,258,0
4,480,5,1
1,213,808,1
3,425,580,0
3,6,560,0
3,626,161,1
3,442,473,0
3,791,322,1
2,575,417,1
4,355,787,0
4,448,844,0
5,411,86,1
4,715,451,1
3,217,472,0
4,624,88,1
4,365,846,0
1,992,418,0
2,217,788,0
2,31,317,0
5,427,905,0
3,260,857,0
1,785,977,1
4,719,595,1
3,707,911,1
4,137,224,1
1,935,167,0
2,553,209,1
3,713,363,1
2,312,230,1
1,574,379,0
4,810,287,1
3,832,957,1
4,636,838,0
1,942,645,0
2,587,284,1
3,670,79,1
3,303,95,0
1,701,874,1
4,17,547,0
3,652,472,1
4,679,145,1
2,703,896,0
4,163,304,0
2,385,299,1
2,124,611,0
3,319,125,0
1,862,641,0
1,493,271,0
2,619,109,1
3,850,815,1
3,120,983,0
2,363,262,1
3,36,883,0
2,882,507,1
4,296,917,0
4,821,577,1
2,131,697,0
3,415,789,0
5,595,186,1
5,931,84,1
4,210,313,0
3,856,265,1
2,962,760,1
2,63,283,0
2,690,979,0
1,375,196,0
2,487,798,0
3,150,719,0
1,989,705,0
1,534,767,1
1,626,104,0
4,601,671,1
1,286,439,1
4,480,858,0
5,914,67,1
3,179,725,0
5,696,219,1
5,518,444,0
2,254,60,1
3,371,867,0
3,121,428,0
5,272,436,0
1,442,88,0
2,940,89,1
4,702,6,1
5,715,235,1
4,702,809,0
5,384,837,0
3,86,108,0
4,513,347,1
4,600,915,0
3,91,359,0
3,824,641,1
4,236,737,0
4,502,756,0
1,232,816,1
3,345,538,0
5,941,668,1
1,580,737,1
3,444,186,0
2,518,928,0
4,696,340,1
1,185,610,1
4,510,891,0
3,21,466,0
1,342,882,1
1,417,853,1
2,223,168,1
5,786,658,1
2,513,511,1
4,838,379,1
3,301,718,0
5,896,805,0
3,955,46,1
2,790,834,0
4,230,919,0
2,986,237,1
5,509,26,1
2,36,295,0
4,931,909,1
4,927,672,1
1,24,672,1
3,139,720,0
4,263,446,0
1,665,462,0
5,85,433,0
2,162,556,0
4,45,527,0
2,767,329,1
2,122,264,0
3,49,965,0
5,733,27,1
2,106,765,0
1,134,91,0
1,453,722,1
4,778,843,1
3,525,951,1
5,426,768,0
2,943,882,1
1,825,257,0
2,158,17,1
3,325,214,0
3,180,932,0
3,433,979,0
4,171,28,1
3,539,592,1
5,482,989,0
3,789,596,1
2,560,622,0
1,542,790,1
1,229,281,1
3,819,976,1
1,744,127,0
3,311,597,0
5,128,91,0
5,194,254,0
4,889,403,1
2,340,343,0
2,857,369,1
3,141,764,0
3,283,637,0
1,290,204,0
4,160,351,0
1,389,795,1
3,295,170,0
2,574,660,0
3,341,366,0
2,457,653,0
2,854,888,0
5,239,962,0
4,654,602,1
