5,411,11,990,54,698,563,448,1
3,590,382,748,550,782,238,528,1
3,863,348,475,829,667,785,430,0
1,166,651,99,302,663,373,506,1
5,936,343,88,106,28,39,228,0
3,726,16,827,317,698,407,519,1
3,521,526,749,302,995,874,986,1
2,912,681,133,532,797,319,169,0
1,293,511,731,845,184,684,436,0
3,521,421,556,941,413,287,774,1
3,901,427,853,142,980,628,602,1
1,209,787,52,115,547,613,43,1
1,284,632,237,404,8,641,691,1
3,970,15,437,474,564,74,381,0
4,828,903,545,895,742,511,942,1
4,458,232,81,974,649,200,332,0
1,184,300,243,129,141,491,996,1
5,989,67,936,10,587,336,618,1
3,241,603,231,719,139,489,134,0
3,551,203,698,550,459,532,590,1
4,771,983,742,380,80,960,590,0
3,967,559,515,752,874,983,741,1
3,0,485,582,408,728,970,290,1
1,601,597,356,590,792,688,293,1
3,325,49,745,815,634,201,107,1
1,87,735,899,172,575,838,743,0
5,621,580,790,458,105,56,380,1
1,626,691,670,478,992,667,812,0
4,813,550,689,548,692,489,678,1
5,585,569,862,641,555,849,931,0
4,806,533,945,171,713,777,18,1
4,379,148,821,7,415,312,672,1
5,45,682,25,761,192,365,275,0
1,717,609,378,520,810,673,372,1
1,746,700,736,186,278,845,551,1
5,729,236,471,312,530,173,939,1
3,544,275,176,509,248,678,19,0
4,155,497,502,995,408,708,120,0
1,411,162,939,669,971,264,720,0
4,211,588,813,463,38,69,785,1
5,432,841,733,265,96,271,605,1
3,198,477,825,123,53,993,980,1
1,297,48,52,119,777,718,777,1
2,461,440,957,37,430,797,289,1
3,763,724,922,975,278,307,745,1
5,336,675,658,773,243,922,623,0
4,535,744,88,741,737,148,728,1
5,883,467,493,634,165,227,451,1
2,554,815,703,289,256,733,87,0
4,389,196,972,441,101,454,431,1
4,351,889,174,894,544,701,723,0
1,230,747,578,394,277,807,208,1
3,971,39,471,688,807,941,470,0
5,772,286,60,347,532,761,514,0
2,292,932,796,813,562,169,500,1
